Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2018-01-02,79.19834899902344,79.53007040671183,78.78370075445349,79.36420970286764,22483800
2018-01-03,79.56690979003906,79.71434461544845,79.2167626248109,79.29968944154412,26061400
2018-01-04,80.26720428466797,80.77400266606287,79.76962233659265,79.788048173153,21912000
2018-01-05,81.26238250732422,81.46510189562147,80.56208108322825,80.77401690646994,23407100
2018-01-08,81.34529876708984,81.62173553888103,80.7187148437651,81.27158135726832,22113000
2018-01-09,81.29003143310547,81.75997123260069,80.95831004876538,81.68625380717387,19484300
2018-01-10,80.92144012451172,81.26237789731391,80.54365067418247,80.95829883211842,18652200
2018-01-11,81.16101837158203,81.20708648362299,80.3869995704494,81.20708648362299,17808900
2018-01-12,82.56163787841797,82.72749859568371,81.50197257533578,81.70469201089189,24271500
2018-01-16,81.4098129272461,83.65814508035972,81.09652442988713,83.02234462032146,36599700
2018-01-17,83.0591812133789,83.1881831520666,81.7783712292094,82.0824502404354,25621200
2018-01-18,83.02233123779297,83.54755548052955,82.61689954362663,82.74590149587216,24159700
2018-01-19,82.9301986694336,83.49228168948838,82.61691018223193,83.05920063829075,36875000
2018-01-22,84.41372680664062,84.4229432414143,82.69061906811926,82.93019716167537,23601600
2018-01-23,84.68094635009766,85.04952640657753,84.34922500227376,84.68094635009766,23412800
2018-01-24,84.60722351074219,86.09075304619397,84.38607830305827,85.27988259796666,33277500
2018-01-25,85.07715606689453,85.91566871673936,84.70857606506084,85.2061580130245,26383200
2018-01-26,86.67123413085938,86.67123413085938,85.30749758457355,85.80507941527043,29172200
2018-01-29,86.5422592163086,87.95207132810575,86.35797271636518,87.66642514416966,31569900
2018-01-30,85.4549560546875,86.3026922729121,84.86523079075367,85.97097093318936,38635100
2018-01-31,87.54663848876953,87.90600208006212,86.16446866685057,86.38561386993541,48756300
2018-02-01,86.85556030273438,88.52337643402444,86.22897632041372,87.34392588614551,47227900
2018-02-02,84.57036590576172,86.58833616363468,84.31236198842406,86.2842571053098,47867800
2018-02-05,81.0873031616211,85.91568151782253,81.0873031616211,83.44620427669724,51031500
2018-02-06,84.15570068359375,84.29391904843402,78.55330493201544,80.06447645275881,67998600
2018-02-07,82.57083892822266,84.56116013442846,82.19304240871115,83.38170948925756,41107600
2018-02-08,78.33213806152344,82.81957624870465,78.10177652731245,82.66293209265945,55628700
2018-02-09,81.25312042236328,81.94420502324635,77.24483114325662,79.52080422031041,63499100
2018-02-12,82.1285400390625,82.72748178694357,81.02280683534379,81.7691763963499,35720300
2018-02-13,82.77355194091797,82.93019617981624,80.90301641856378,81.94424857310383,26407700
2018-02-14,84.06961822509766,84.23625799322191,81.84776406757696,81.94034014695663,34960900
2018-02-15,85.7823257446289,85.83786999146425,83.89374365808764,84.43994758691144,27823900
2018-02-16,85.17129516601562,86.55995758720066,84.98614300176521,85.5878910671302,30596900
2018-02-20,85.83786010742188,86.15262022071634,84.25478568696977,84.6899010720203,30911700
2018-02-21,84.69915008544922,86.43035182324789,84.69915008544922,86.07855987712463,26922500
2018-02-22,84.92135620117188,85.84713133573425,84.57881685866644,85.21760396170768,24392800
2018-02-23,87.07838439941406,87.08764412603642,85.50456990250588,86.6525287951107,26329200
2018-02-26,88.33745574951172,88.36522787159859,87.25430060950404,87.39316828304167,30199800
2018-02-27,87.20800018310547,88.72627058338304,87.20800018310547,88.63369449811783,25869100
2018-02-28,86.80992126464844,88.60592707909629,86.68031332578137,87.80050026204842,31167300
2018-03-01,85.95822143554688,87.55055582680502,85.0231865545213,87.013604543594,37135600
2018-03-02,86.14336395263672,86.23594003719774,84.11591450416884,84.78247361397212,32830400
2018-03-05,86.68955993652344,87.27279557317445,85.4119931339585,85.4860497570319,23901600
2018-03-06,86.39331817626953,87.47647317418956,86.04152623747822,87.33760551886851,22175800
2018-03-07,86.89325714111328,86.96732084910806,85.56939837889838,86.24521735391883,26716100
2018-03-08,87.42092895507812,88.04119647745566,86.80991409678215,87.2728015725449,25887800
2018-03-09,89.37433624267578,89.37433624267578,87.94864162559367,88.21711727391796,36937300
2018-03-12,89.58724212646484,89.99458537976568,88.91143034323676,89.33728598845917,26073700
2018-03-13,87.40241241455078,90.02235003503368,86.99506919502464,89.80016603488397,35387800
2018-03-14,86.88397979736328,88.32819355805215,86.5599599694564,88.0597179683286,32132000
2018-03-15,87.18951416015625,87.55982567631352,85.93971897334202,86.58775882928875,27611000
2018-03-16,87.57831573486328,88.30041912247334,86.9487884369027,87.65237943182403,49081300
2018-03-19,85.99523162841797,86.93026627392379,85.27312832196674,86.78213889665066,33344100
2018-03-20,86.21742248535156,86.80991791534215,86.09707427907627,86.14336585392974,23075200
2018-03-21,85.61566925048828,87.06913561852728,85.36570606225163,86.03226514674635,24457100
2018-03-22,83.12533569335938,84.9398537933062,83.00498748955715,84.49547869839355,38604700
2018-03-23,80.7090835571289,83.74562513339495,80.61650744821434,82.85688177422716,44068900
2018-03-26,86.81919860839844,87.02287028597294,83.69008092168421,83.88449286943143,56396800
2018-03-27,82.82910919189453,88.07825293891327,81.94036583761921,87.89310072210337,56569000
2018-03-28,82.75504302978516,84.45847303904065,82.27364304246971,83.1531266409342,52501100
2018-03-29,84.49549102783203,85.43978559364783,81.83852098736408,83.48639955006212,45867500
2018-04-02,81.94956970214844,84.13439846230933,81.01454238204492,83.75483452495348,48515400
2018-04-03,83.05126190185547,83.36602902729129,81.36635193798607,82.93091371268682,37213800
2018-04-04,85.476806640625,85.87489016940229,81.21824309332774,81.32933157189642,35560000
2018-04-05,85.52310180664062,86.16188889040008,84.6158461574931,85.5786531159481,29771900
2018-04-06,83.53268432617188,85.59715869419725,82.8383530514982,84.6991557821895,38026000
2018-04-09,84.03258514404297,86.25444633196732,83.89372455856808,84.28254832410178,31533900
2018-04-10,85.98600006103516,86.35631156238883,84.83804076363276,85.53237218000673,26812000
2018-04-11,85.04167938232422,86.3655377174142,84.68988747750582,85.18054702423468,24872100
2018-04-12,86.63401794433594,87.1709690883427,85.5693753831093,85.5693753831093,26758900
2018-04-13,86.171142578125,87.18949371139264,85.57864711647463,87.06914549868658,23346100
2018-04-16,87.18022918701172,87.63386401792992,86.4858979439235,87.08765310055382,20288100
2018-04-17,88.93920135498047,89.37431672229586,87.83752687714814,87.9486224166018,26771000
2018-04-18,89.28173828125,89.54095413669798,88.43001996078941,89.07806666251165,21043300
2018-04-19,88.97623443603516,89.8649775746885,88.26338374174587,89.28174187644485,23552500
2018-04-20,87.94862365722656,88.97623445658552,87.06914024589534,88.79108228465346,31154400
2018-04-23,88.27262878417969,89.14285938611302,87.60606977530323,88.63368040347088,22331800
2018-04-24,86.20816802978516,89.30951277676172,85.55086864651749,89.09658142520338,34524800
2018-04-25,85.45829772949219,86.37482016938223,83.5789753954022,86.37482016938223,33729300
2018-04-26,87.26356506347656,88.0875043578211,86.18966253060738,86.60626557378056,42529000
2018-04-27,88.70775604248047,90.63336964699688,86.93952954851477,90.3556343348273,48272800
2018-04-30,86.57847595214844,89.24471250517486,86.23594371834082,89.17990853690561,41523600
